,ProjectName,methodName,methodBody,methodBodyLength,TotalMN,Prefix,Rank,AllOccurrance
14,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set registry,@ override public void   (  config registry registry )  {  this . registry = registry ;   }  ,17,2,registry,2,"[7, 8, 13, 15]"
15,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set untyped null argument,"public void   (  argument untyped null argument )  {  if  ( untyped null argument  =  =  null )   {  throw new  illegal argument exception ( ""the  argument itself may not be null"" )  ;   }  this . untyped null argument = untyped null argument ;   }  ",46,4,set,1,[]
16,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set untyped null argument,"public void   (  argument untyped null argument )  {  if  ( untyped null argument  =  =  null )   {  throw new  illegal argument exception ( ""the  argument itself may not be null"" )  ;   }  this . untyped null argument = untyped null argument ;   }  ",46,4,untyped,2,"[5, 12, 38, 42]"
17,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set untyped null argument,"public void   (  argument untyped null argument )  {  if  ( untyped null argument  =  =  null )   {  throw new  illegal argument exception ( ""the  argument itself may not be null"" )  ;   }  this . untyped null argument = untyped null argument ;   }  ",46,4,null,3,"[6, 13, 17, 39, 43]"
18,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set untyped null argument,"public void   (  argument untyped null argument )  {  if  ( untyped null argument  =  =  null )   {  throw new  illegal argument exception ( ""the  argument itself may not be null"" )  ;   }  this . untyped null argument = untyped null argument ;   }  ",46,4,argument,4,"[4, 7, 14, 23, 27, 40, 44]"
19,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java, character stream argument,public   (  reader reader int length )  {  this . value = reader ;  this . length = length ;   }  ,21,3,character,1,[]
20,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java, character stream argument,public   (  reader reader int length )  {  this . value = reader ;  this . length = length ;   }  ,21,3,stream,2,[]
21,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java, character stream argument,public   (  reader reader int length )  {  this . value = reader ;  this . length = length ;   }  ,21,3,argument,3,[]
22,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java,apply,@ override public void   ( int position  prepared statement statement  statement context ctx )  throws sql exception  {  statement . set character stream ( position value length )  ;   }  ,30,1,apply,1,[]
23,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java, input stream argument,public   (  input stream stream int length boolean ascii )  {  this . value = stream ;  this . length = length ;  this . ascii = ascii ;   }  ,30,3,input,1,[3]
24,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java, input stream argument,public   (  input stream stream int length boolean ascii )  {  this . value = stream ;  this . length = length ;  this . ascii = ascii ;   }  ,30,3,stream,2,"[4, 5, 16]"
25,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java, input stream argument,public   (  input stream stream int length boolean ascii )  {  this . value = stream ;  this . length = length ;  this . ascii = ascii ;   }  ,30,3,argument,3,[]
26,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java,apply,@ override public void   ( int position  prepared statement statement  statement context ctx )  throws sql exception  {  if  ( ascii )   {  if  ( value  !  =  null )   {  statement . set ascii stream ( position value length )  ;   }  else  {  statement . ,47,1,apply,1,[]
27,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MapArguments.java, map arguments,public   (  map <  string  ?  >  args )  {  this . args = args ;   }  ,17,2,map,1,[3]
28,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MapArguments.java, map arguments,public   (  map <  string  ?  >  args )  {  this . args = args ;   }  ,17,2,arguments,2,[]
29,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java, java time zone id argument factory,public   (  )  {  super (  types . varchar )  ;   }  ,12,6,java,1,[]
30,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java, java time zone id argument factory,public   (  )  {  super (  types . varchar )  ;   }  ,12,6,time,2,[]
31,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java, java time zone id argument factory,public   (  )  {  super (  types . varchar )  ;   }  ,12,6,zone,3,[]
32,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java, java time zone id argument factory,public   (  )  {  super (  types . varchar )  ;   }  ,12,6,id,4,[]
33,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java, java time zone id argument factory,public   (  )  {  super (  types . varchar )  ;   }  ,12,6,argument,5,[]
34,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java, java time zone id argument factory,public   (  )  {  super (  types . varchar )  ;   }  ,12,6,factory,6,[]
35,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MapArguments.java,find,@ override public  optional <  argument >    (  string name  statement context ctx )  {  if  ( args . contains key ( name )  )   {  final  object argument = args . get ( name )  ;  final  class <  ?  >  argument class = argument  =  =  null  ?   object . ,52,1,find,1,[]
36,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MapArguments.java,to string,@ override public  string   (  )  {  return new  linked hash map <  >  ( args )  . to string (  )  ;   }  ,24,2,to,1,[19]
37,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MapArguments.java,to string,@ override public  string   (  )  {  return new  linked hash map <  >  ( args )  . to string (  )  ;   }  ,24,2,string,2,"[4, 20]"
38,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java,build,@ override protected  argument   (  zone id value  config registry config )  {  return  ( i p ctx )   -  >  p . set string ( i value . get id (  )  )  ;   }  ,36,1,build,1,[]
39,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java, method return value named argument finder,  (  string prefix  object object )  {  super ( prefix object )  ;   }  ,14,6,method,1,[]
40,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java, method return value named argument finder,  (  string prefix  object object )  {  super ( prefix object )  ;   }  ,14,6,return,2,[]
41,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java, method return value named argument finder,  (  string prefix  object object )  {  super ( prefix object )  ;   }  ,14,6,value,3,[]
42,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java, method return value named argument finder,  (  string prefix  object object )  {  super ( prefix object )  ;   }  ,14,6,named,4,[]
43,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java, method return value named argument finder,  (  string prefix  object object )  {  super ( prefix object )  ;   }  ,14,6,argument,5,[]
44,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java, method return value named argument finder,  (  string prefix  object object )  {  super ( prefix object )  ;   }  ,14,6,finder,6,[]
45,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java,invoke method," object   (  method method  statement context ctx )  {  try  {  return method . invoke ( object )  ;   }  catch  (   illegal access exception e )   {  throw new  unable to create statement exception (  string . format ( "" access exception invoking ""  +  ""method [%s] on [%s]"" method . get name (  )  object )  e ctx )  ;   }  catch  (   invocation target exception e )   {  throw new  unable to create statement exception (  string . format ( "" invocation target exception invoking ""  +  ""method [%s] on [%s]"" method . get name (  )  object )  e ctx )  ;   }   }  ",108,2,invoke,1,[15]
46,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MethodReturnValueNamedArgumentFinder.java,invoke method," object   (  method method  statement context ctx )  {  try  {  return method . invoke ( object )  ;   }  catch  (   illegal access exception e )   {  throw new  unable to create statement exception (  string . format ( "" access exception invoking ""  +  ""method [%s] on [%s]"" method . get name (  )  object )  e ctx )  ;   }  catch  (   invocation target exception e )   {  throw new  unable to create statement exception (  string . format ( "" invocation target exception invoking ""  +  ""method [%s] on [%s]"" method . get name (  )  object )  e ctx )  ;   }   }  ",108,2,method,2,"[3, 4, 13, 51, 95]"
47,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java, bean property arguments,public   (  string prefix  object bean )  {  super ( prefix bean )  ;  this . property descriptors = class   property   descriptors . get ( bean . get class (  )  )  ;   }  ,34,3,bean,1,"[6, 12, 26]"
48,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java, bean property arguments,public   (  string prefix  object bean )  {  super ( prefix bean )  ;  this . property descriptors = class   property   descriptors . get ( bean . get class (  )  )  ;   }  ,34,3,property,2,"[17, 21]"
49,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java, bean property arguments,public   (  string prefix  object bean )  {  super ( prefix bean )  ;  this . property descriptors = class   property   descriptors . get ( bean . get class (  )  )  ;   }  ,34,3,arguments,3,[]
50,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get getter,"private  method   (  string name  property descriptor descriptor  statement context ctx )  {   method getter = descriptor . get read method (  )  ;  if  ( getter  =  =  null )   {  throw new  unable to create statement exception (  string . format ( "" no getter method found for ""  +  ""bean property [%s] on [%s]"" name object )  ctx )  ;   }  return getter ;   }  ",68,2,get,1,[19]
51,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get getter,"private  method   (  string name  property descriptor descriptor  statement context ctx )  {   method getter = descriptor . get read method (  )  ;  if  ( getter  =  =  null )   {  throw new  unable to create statement exception (  string . format ( "" no getter method found for ""  +  ""bean property [%s] on [%s]"" name object )  ctx )  ;   }  return getter ;   }  ",68,2,getter,2,"[15, 27, 47, 66]"
52,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  bean property arguments ( null obj )  ;   }  ,21,4,get,1,[]
53,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  bean property arguments ( null obj )  ;   }  ,21,4,nested,2,[]
54,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  bean property arguments ( null obj )  ;   }  ,21,4,argument,3,[4]
55,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  bean property arguments ( null obj )  ;   }  ,21,4,finder,4,[5]
56,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get value,@ override  optional <  typed value >    (  string name  statement context ctx )  {   property descriptor descriptor = property descriptors . get ( name )  ;  if  ( descriptor  =  =  null )   {  return  optional . empty (  )  ;   }   method getter = get g,48,2,get,1,"[23, 47]"
57,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,get value,@ override  optional <  typed value >    (  string name  statement context ctx )  {   property descriptor descriptor = property descriptors . get ( name )  ;  if  ( descriptor  =  =  null )   {  return  optional . empty (  )  ;   }   method getter = get g,48,2,value,2,[6]
58,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,to string,"@ override public  string   (  )  {  return "" { lazy bean property arguments \""""  +  object  +  ""\"""" ;   }  ",21,2,to,1,[]
59,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BeanPropertyArguments.java,to string,"@ override public  string   (  )  {  return "" { lazy bean property arguments \""""  +  object  +  ""\"""" ;   }  ",21,2,string,2,[4]
60,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BuiltInArgumentFactory.java, built in argument,private   (  class < t >  klass int type  statement binder < t >  binder t value )  {  this . binder = binder ;  this . klass = klass ;  this . type = type ;  this . value = value ;   }  ,44,3,built,1,[]
61,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BuiltInArgumentFactory.java, built in argument,private   (  class < t >  klass int type  statement binder < t >  binder t value )  {  this . binder = binder ;  this . klass = klass ;  this . type = type ;  this . value = value ;   }  ,44,3,in,2,[]
62,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BuiltInArgumentFactory.java, built in argument,private   (  class < t >  klass int type  statement binder < t >  binder t value )  {  this . binder = binder ;  this . klass = klass ;  this . type = type ;  this . value = value ;   }  ,44,3,argument,3,[]
63,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\BuiltInArgumentFactory.java,apply,@ override public void   ( int position  prepared statement statement  statement context ctx )  throws sql exception  {  if  ( value  =  =  null )   {  statement . set null ( position type )  ;  return ;   }  binder . bind ( statement position value )  ; ,47,1,apply,1,[]
64,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java, object field arguments,public   (  string prefix  object bean )  {  super ( prefix bean )  ;  this . fields = class   fields . get ( bean . get class (  )  )  ;   }  ,32,3,object,1,[5]
65,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java, object field arguments,public   (  string prefix  object bean )  {  super ( prefix bean )  ;  this . fields = class   fields . get ( bean . get class (  )  )  ;   }  ,32,3,field,2,[]
66,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java, object field arguments,public   (  string prefix  object bean )  {  super ( prefix bean )  ;  this . fields = class   fields . get ( bean . get class (  )  )  ;   }  ,32,3,arguments,3,[]
67,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  object field arguments ( null obj )  ;   }  ,21,4,get,1,[]
68,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  object field arguments ( null obj )  ;   }  ,21,4,nested,2,[]
69,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  object field arguments ( null obj )  ;   }  ,21,4,argument,3,[4]
70,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,get nested argument finder,@ override  named argument finder   (  object obj )  {  return new  object field arguments ( null obj )  ;   }  ,21,4,finder,4,[5]
71,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,get value,@ override  optional <  typed value >    (  string name  statement context ctx )  {   field field = fields . get ( name )  ;  if  ( field  =  =  null )   {  return  optional . empty (  )  ;   }  try  {   type type = field . get generic type (  )  ;   obje,55,2,get,1,"[21, 49]"
72,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,get value,@ override  optional <  typed value >    (  string name  statement context ctx )  {   field field = fields . get ( name )  ;  if  ( field  =  =  null )   {  return  optional . empty (  )  ;   }  try  {   type type = field . get generic type (  )  ;   obje,55,2,value,2,[6]
73,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,to string,"@ override public  string   (  )  {  return "" { lazy bean field arguments \""""  +  object  +  ""\"""" ;   }  ",21,2,to,1,[]
74,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectFieldArguments.java,to string,"@ override public  string   (  )  {  return "" { lazy bean field arguments \""""  +  object  +  ""\"""" ;   }  ",21,2,string,2,[4]
75,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgumentFactory.java, object argument factory,private   (  class <  ?  >  type  integer sql type )  {  this . type = type ;  this . sql type = sql type ;   }  ,27,3,object,1,[]
76,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgumentFactory.java, object argument factory,private   (  class <  ?  >  type  integer sql type )  {  this . type = type ;  this . sql type = sql type ;   }  ,27,3,argument,2,[]
77,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgumentFactory.java, object argument factory,private   (  class <  ?  >  type  integer sql type )  {  this . type = type ;  this . sql type = sql type ;   }  ,27,3,factory,3,[]
78,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgumentFactory.java,build,@ override public  optional <  argument >    (  type expected type  object value  config registry config )  {  return  objects . equals ( type expected type )  || type . is instance ( value )   ?   optional . of ( new  object argument ( value sql type )  ,48,1,build,1,[]
79,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgumentFactory.java,create,public static  argument factory   (  class <  ?  >  type  integer sql type )  {  return new  object argument factory ( type sql type )  ;   }  ,27,1,create,1,[]
80,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgument.java, object argument,"public   (  object value  integer sql type )  {  this . sql type = sql type ;  this . value = value ;  if  ( sql type  =  =  null && value  =  =  null )   {  throw new  illegal argument exception ( "" null value provided without a type"" )  ;   }   }  ",54,2,object,1,[3]
81,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgument.java, object argument,"public   (  object value  integer sql type )  {  this . sql type = sql type ;  this . value = value ;  if  ( sql type  =  =  null && value  =  =  null )   {  throw new  illegal argument exception ( "" null value provided without a type"" )  ;   }   }  ",54,2,argument,2,[41]
82,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgument.java,apply,@ override public void   ( final int position  prepared statement statement  statement context ctx )  throws sql exception  {  if  ( value  =  =  null )   {  statement . set null ( position sql type )  ;   }  else  {  if  ( sql type  !  =  null )   {  sta,50,1,apply,1,[]
83,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgument.java,to string,"@ override public  string   (  )  {  return  ( value  =  =  null  ?  ""null"" :  string . value of ( value )  )   +   ( sql type  =  =  null  ?  """" : ""  ( type ""  +  sql type  +  "" ) "" )  ;   }  ",48,2,to,1,[]
84,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectArgument.java,to string,"@ override public  string   (  )  {  return  ( value  =  =  null  ?  ""null"" :  string . value of ( value )  )   +   ( sql type  =  =  null  ?  """" : ""  ( type ""  +  sql type  +  "" ) "" )  ;   }  ",48,2,string,2,"[4, 17]"
85,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\NullArgument.java, null argument,public   ( int sql type )  {  this . sql type = sql type ;   }  ,16,2,null,1,[]
86,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\NullArgument.java, null argument,public   ( int sql type )  {  this . sql type = sql type ;   }  ,16,2,argument,2,[]
87,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\NullArgument.java,apply,@ override public void   ( final int position  prepared statement statement  statement context ctx )  throws sql exception  {  statement . set null ( position sql type )  ;   }  ,30,1,apply,1,[]
88,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\NullArgument.java,to string,"@ override public  string   (  )  {  return ""null"" ;   }  ",11,2,to,1,[]
89,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\NullArgument.java,to string,"@ override public  string   (  )  {  return ""null"" ;   }  ",11,2,string,2,[4]
90,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectPropertyNamedArgumentFinder.java, object property named argument finder,"public   (  string prefix  object object )  {  this . prefix =  ( prefix  =  =  null || prefix . is empty (  )  )   ?  """" : prefix  +  "" . "" ;  this . object = object ;   }  ",41,5,object,1,"[5, 6, 37, 39]"
91,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectPropertyNamedArgumentFinder.java, object property named argument finder,"public   (  string prefix  object object )  {  this . prefix =  ( prefix  =  =  null || prefix . is empty (  )  )   ?  """" : prefix  +  "" . "" ;  this . object = object ;   }  ",41,5,property,2,[]
92,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectPropertyNamedArgumentFinder.java, object property named argument finder,"public   (  string prefix  object object )  {  this . prefix =  ( prefix  =  =  null || prefix . is empty (  )  )   ?  """" : prefix  +  "" . "" ;  this . object = object ;   }  ",41,5,named,3,[]
93,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\ObjectPropertyNamedArgumentFinder.java, object property named argument finder,"public   (  string prefix  object object )  {  this . prefix =  ( prefix  =  =  null || prefix . is empty (  )  )   ?  """" : prefix  +  "" . "" ;  this . object = object ;   }  ",41,5,argument,4,[]
