,ProjectName,methodName,methodBody
11,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,interceptors for managed service,"public static void   (  atmosphere framework framework  list <  class <  ?  extends  atmosphere interceptor >  >  interceptors  list <  atmosphere interceptor >  l boolean check duplicate )  {  for  (   class <  ?  extends  atmosphere interceptor >  i : interceptors )   {  if  (  ! framework . excluded interceptors (  )  . contains ( i . get name (  )  )  &&  (  ! check duplicate || check default ( i )  )  )   {  try  {  logger . info ( "" adding  {  } "" i )  ;  l . add ( framework . new class instance (  atmosphere interceptor . class i )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   }   }   }  "
12,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,listeners,"public static  atmosphere interceptor   ( final  class <  ?  extends  atmosphere resource event listener > [] listeners final  atmosphere framework framework )  {  if  ( listeners . length  >  0 )   {  try  {  return new  atmosphere interceptor adapter (  )  {  @ override public  action inspect (   atmosphere resource r )  {  if  (  ! r . is suspended (  )  )   {  for  (   class <  ?  extends  atmosphere resource event listener >  l : listeners )   {  try  {  r . add event listener ( framework . new class instance (  atmosphere resource event listener . class l )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   }   }  return  action . continue ;   }  @ override public  string to string (  )  {  return ""@ service  event  listeners"" ;   }   }   ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   }  return null ;   }  "
13,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,to string,"@ override public  string   (  )  {  return ""@ service  event  listeners"" ;   }  "
14,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereInterceptorServiceProcessor.java,handle,@ override public void   ( final  atmosphere framework framework  class <  atmosphere interceptor >  annotated class )  {  try  {  final  atmosphere interceptor a =  (  atmosphere interceptor ) framework . new class instance (  atmosphere interceptor . class annotated class )  ;  framework . get atmos
15,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereInterceptorServiceProcessor.java,started,@ override public void   (  atmosphere framework framework )  {  framework . interceptor ( a )  ;   }  
16,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereFrameworkServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  atmosphere framework listener >  annotated class )  {  try  {  framework . framework listener ( framework . new class instance (  atmosphere framework listener . class annotated class )  )  ;   }  catch  (   exception e )   {  logger . erro
17,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereResourceFactoryServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  atmosphere resource factory >  annotated class )  {  try  {  framework . set and configure atmosphere resource factory ( framework . new class instance (  atmosphere resource factory . class annotated class )  )  ;   }  catch  (   throwab
18,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereHandlerServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  atmosphere handler >  annotated class )  {  try  {   atmosphere handler service a = annotated class . get annotation (  atmosphere handler service . class )  ;  atmosphere config ( a . atmosphere config (  )  framework )  ;  filters ( a . broa
19,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\BroadcasterCacheInspectorServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  broadcaster cache inspector >  annotated class )  {  try  {  framework . add broadcaster cache injector ( framework . new class instance (  broadcaster cache inspector . class annotated class )  )  ;   }  catch  (   throwable e )   {  logge
20,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereServiceProcessor.java,destroy,@ override public void   (  )  {  r . destroy (  )  ;   }  
21,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  object >  annotated class )  {  try  {   class <  ?  >  a class = annotated class ;   atmosphere service a = a class . get annotation (  atmosphere service . class )  ;  framework . set broadcaster cache class name ( a . broadcaster cache (  )  . get na
22,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereServiceProcessor.java,init,@ override public void   (  atmosphere config config )  throws  servlet exception  {   string s = config . get init parameter ( atmosphereresource   interceptor   method )  ;  if  ( s  !  =  null )   {  method = s ;   }  r . init ( config )  ;   }  
23,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereServiceProcessor.java,on request,@ override public void   (  atmosphere resource resource )  throws io exception  {  if  (  ! resource . get request (  )  . get method (  )  . equals ignore case ( method )  )   {  r . on request ( resource )  ;   }   }  
24,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereServiceProcessor.java,on state change,@ override public void   (  atmosphere resource event event )  throws io exception  {  r . on state change ( event )  ;   }  
25,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\BroadcasterCacheServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  broadcaster cache >  annotated class )  {  framework . set broadcaster cache class name ( annotated class . get name (  )  )  ;   }  
26,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AtmosphereResourceListenerServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  atmosphere resource listener >  annotated class )  {  try  {  framework . atmosphere resource listener ( framework . new class instance (  atmosphere resource listener . class annotated class )  )  ;   }  catch  (   throwable e )   {  logg
27,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\BroadcasterCacheListenererviceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  broadcaster cache listener >  annotated class )  {  try  {  framework . add broadcaster cache listener ( framework . new class instance (  broadcaster cache listener . class annotated class )  )  ;   }  catch  (   exception e )   {  logger . 
28,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\BroadcasterServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  broadcaster >  annotated class )  {  framework . set default broadcaster class name ( annotated class . get name (  )  )  ;   }  
29,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\BroadcasterFactoryServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  broadcaster factory >  annotated class )  {  try  {  framework . set broadcaster factory ( framework . new class instance (  broadcaster factory . class annotated class )  )  ;  framework . configure broadcaster factory (  )  ;   }  catch  ( 
30,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\BroadcastFilterServiceProcessor.java,handle,"@ override public void   (  atmosphere framework framework  class <  broadcast filter >  annotated class )  {  try  {  framework . broadcaster filters (  (  broadcast filter ) framework . new class instance (  broadcast filter . class annotated class )  )  ;   }  catch  (   exception e )   {  logger . warn ( """" e ) "
31,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\EndpointMapperServiceProcessor.java,handle,"@ override public void   (  atmosphere framework framework  class <  endpoint mapper >  annotated class )  {  try  {  framework . end point mapper (  (  endpoint mapper <  ?  >  ) framework . new class instance (  endpoint mapper . class annotated class )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }  "
32,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\BroadcasterListenerServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  broadcaster listener >  annotated class )  {  try  {   broadcaster listener l = framework . new class instance (  broadcaster listener . class annotated class )  ;  framework . add broadcaster listener ( l )  ;   collection <  broadcaster
33,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\ManagedServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  object >  annotated class )  {  try  {   class <  ?  >  a class = annotated class ;   managed service a = a class . get annotation (  managed service . class )  ;  framework . set broadcaster cache class name ( a . broadcaster cache (  )  . get name (  )  )  ; 
34,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\ManagedServiceProcessor.java,unwrap,@ override public  object   (  object o )  {  if  ( o  !  =  null &&  managed atmosphere handler .  managed . class . is assignable from ( o . get class (  )  )  )   {  o =  managed atmosphere handler .  managed . class . cast ( o )  . object (  )  ;   }  return o ;   }  
35,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\ManagedServiceProcessor.java,wrap,@ override public  broadcast filter .  broadcast action   (  broadcast filter .  broadcast action a boolean was wrapped )  {  if  ( was wrapped )   {  return new  broadcast filter .  broadcast action ( a . action (  )  new  managed atmosphere handler .  managed ( a . message (  )  )  )  ;   }  else  {  return a ;   }   }  
36,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\MeteorServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  servlet >  annotated class )  {  try  {   reflector servlet processor r = framework . new class instance (  reflector servlet processor . class  reflector servlet processor . class )  ;  r . set servlet class name ( annotated class . get na
37,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\UUIDProviderServiceProcessor.java,handle,"@ override public void   (  atmosphere framework framework  class < uuid provider >  annotated class )  {  try  {  framework . uuid provider ( framework . new class instance ( uuid provider . class annotated class )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   }  "
38,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\WebSocketFactoryServiceProcessor.java,handle,"@ override public void   (  atmosphere framework framework  class <  web socket factory >  annotated class )  {  try  {  framework . web socket factory ( framework . new class instance (  web socket factory . class annotated class )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   }  "
39,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\WebSocketHandlerServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  web socket handler >  annotated class )  {  try  {   web socket handler service m = annotated class . get annotation (  web socket handler service . class )  ;  atmosphere config ( m . atmosphere config (  )  framework )  ;  framework . add atmo
40,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\WebSocketProcessorServiceProcessor.java,handle,"@ override public void   (  atmosphere framework framework  class <  web socket processor >  annotated class )  {  try  {  if  (  ! has been set )   {  has been set = true ;  framework . set websocket processor class name ( annotated class . get name (  )  )  ;   }  else  {  logger . warn ( "" web socket processor already"
41,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\WebSocketProtocolServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  web socket protocol >  annotated class )  {  framework . set web socket protocol class name ( annotated class . get name (  )  )  ;   }  
42,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\CacheMessage.java, cache message,public   (  string id  long now  object message  string uuid  string broadcaster id )  {  this . id = id ;  this . message = message ;  this . create time = now ;  this . uuid = uuid ;  this . broadcaster id = broadcaster id ;   }  
43,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\CacheMessage.java,get broadcaster id,public  string   (  )  {  return this . broadcaster id ;   }  
44,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\CacheMessage.java,get create time,public long   (  )  {  return create time ;   }  
45,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\CacheMessage.java,get id,public  string   (  )  {  return id ;   }  
46,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\CacheMessage.java,get message,public  object   (  )  {  return message ;   }  
47,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\CacheMessage.java,to string,public  string   (  )  {  return message . to string (  )  ;   }  
48,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\CacheMessage.java,uuid,public  string   (  )  {  return uuid ;   }  
49,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\BroadcastMessage.java, broadcast message,public   (  object message )  {  this ( uuid . randomuuid (  )  . to string (  )  message )  ;   }  
50,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\BroadcastMessage.java,id,public  string   (  )  {  return id ;   }  
51,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\BroadcastMessage.java,message,public  object   (  )  {  return message ;   }  
52,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,add broadcaster cache listener,"@ override public  broadcaster cache   (  broadcaster cache listener l )  {  logger . warn ( "" not supported"" )  ;  return this ;   }  "
53,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,cache candidate,"@ override public  broadcaster cache   (  string broadcaster id  string uuid )  {  logger . warn ( "" not supported"" )  ;  return this ;   }  "
54,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,cleanup,@ override public void   (  )  {  if  ( scheduled future  !  =  null )   {  scheduled future . cancel ( false )  ;  scheduled future = null ;   }   }  
55,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,clear cache,@ override public  broadcaster cache   (  string broadcaster id  string uuid  cache message cache )  {  if  ( cache  !  =  null )   {  messages . remove ( cache )  ;  messages ids . remove ( cache . get id (  )  )  ;   }  return this ;   }  
56,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,configure,"@ override public void   (  atmosphere config config )  {   object o = config . properties (  )  . get ( ""shared"" )  ;  if  ( o  !  =  null )   {  is shared =  boolean . parse boolean ( o . to string (  )  )  ;   }  if  ( is shared )   {  reaper =  executors factory . get scheduler ( config )  ;   }  else  {  reaper =  executors . new single"
57,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,exclude from cache,"@ override public  broadcaster cache   (  string broadcaster id  atmosphere resource r )  {  logger . warn ( "" not supported"" )  ;  return this ;   }  "
58,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,get,"protected  list <  object >    ( long cache header time )  {   list <  object >  result = new  array list <  object >  (  )  ;  read write lock . read lock (  )  . lock (  )  ;  try  {  for  (   cache message cache message : messages )   {  if  ( cache message . get create time (  )   >  cache header time )   {  result . add ( cache message . get message (  )  )  ;   }   }   }  finally  {  read write lock . read lock (  )  . unlock (  )  ;   }  logger . trace ( "" retrieved messages  {  } "" result )  ;  return result ;   }  "
59,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,inspect,protected boolean   (  broadcast message m )  {  for  (   broadcaster cache inspector b : inspectors )   {  if  (  ! b . inspect ( m )  )  return false ;   }  return true ;   }  
60,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,inspector,@ override public  broadcaster cache   (  broadcaster cache inspector b )  {  inspectors . add ( b )  ;  return this ;   }  
61,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,put,"protected  cache message   (  broadcast message message  long now  string uuid  string broadcaster id )  {  if  (  ! inspect ( message )  )  return null ;  logger . trace ( "" caching message  {  }  for  broadcaster  {  } "" message . message (  )  )  ;  read write lock . write lock (  )  . lock (  )  ;   cache message cache message = null ;  try  {  boolean has message with same id = messages ids . contains ( message . id (  )  )  ;  if  (  ! has message with same id )   {  cache message = new  cache message ( message . id (  )  now message . message (  )  uuid broadcaster id )  ;  messages . add ( cache message )  ;  messages ids . add ( message . id (  )  )  ;   }   }  finally  {  read write lock . write lock (  )  . unlock (  )  ;   }  return cache message ;   }  "
62,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,remove broadcaster cache listener,"@ override public  broadcaster cache   (  broadcaster cache listener l )  {  logger . warn ( "" not supported"" )  ;  return this ;   }  "
63,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,run,public void   (  )  {  read write lock . write lock (  )  . lock (  )  ;  try  {  long now =  system . nano time (  )  ;   list <  cache message >  expired messages = new  array list <  cache message >  (  )  ;  for  (   cache message message : messages )   {  if  (  time unit . nanoseconds . to millis ( now  -  message . get create time (  )  )   >  max cache time )   {  expired messages . add ( message )  ;   }   }  for  (   cache message expired message : expired messages )   {  messages . remove ( expired message )  ;  messages ids . remove ( expired message . get id (  )  )  ;   }   }  finally  {  read write lock . write lock (  )  . unlock (  )  ;   }   }  
64,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,set invalidate cache interval,public  abstract broadcaster cache   ( long invalidate cache interval )  {  this . invalidate cache interval = invalidate cache interval ;  return this ;   }  
65,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,set max cache time,public  abstract broadcaster cache   ( long max cache time )  {  this . max cache time = max cache time ;  return this ;   }  
66,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,start,@ override public void   (  )  {  scheduled future = reaper . schedule at fixed rate ( new  runnable (  )  {  public void run (  )  {  read write lock . write lock (  )  . lock (  )  ;  try  {  long now =  system . nano time (  )  ;   list <  cache message >  expired messages = new  array list <  cache message >  (  )  ;  for  (   cache messa
67,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\AbstractBroadcasterCache.java,stop,@ override public void   (  )  {  cleanup (  )  ;  if  (  ! is shared )   {  reaper . shutdown (  )  ;   }   }  
68,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,add broadcaster cache listener,@ override public  broadcaster cache   (  broadcaster cache listener l )  {  return null ;   }  
69,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,add to cache,"@ override public  cache message   (  string broadcaster id  string uuid  broadcast message message )  {  logger . trace ( "" message  {  }  might be lost !   please install a proper  broadcaster cache"" message . message (  )  )  ;  return null ;   }  "
70,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,cache candidate,@ override public  broadcaster cache   (  string broadcaster id  string uuid )  {  return this ;   }  
71,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,clear cache,@ override public  broadcaster cache   (  string broadcaster id  string uuid  cache message cache )  {  return this ;   }  
72,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,exclude from cache,@ override public  broadcaster cache   (  string broadcaster id  atmosphere resource r )  {  return this ;   }  
73,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,inspector,@ override public  broadcaster cache   (  broadcaster cache inspector interceptor )  {  return this ;   }  
74,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,remove broadcaster cache listener,@ override public  broadcaster cache   (  broadcaster cache listener l )  {  return null ;   }  
75,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\DefaultBroadcasterCache.java,retrieve from cache,@ override public  list <  object >    (  string id  string uuid )  {  return  collections .  <  object > empty list (  )  ;   }  
76,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\client\TrackMessageSizeFilter.java,filter,@ override public  broadcast action   (  string broadcaster id  object original message  object message )  {  return new  broadcast action ( message )  ;   }  
77,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\SessionBroadcasterCache.java,add to cache,@ override public  cache message   (  string broadcaster id  string uuid  broadcast message message )  {  long now =  system . nano time (  )  ;   cache message cache message = put ( message now uuid broadcaster id )  ;  if  ( uuid . equals ( null )  )  return cache message ;  try  {   http session session = co
78,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\cache\SessionBroadcasterCache.java,retrieve from cache,"@ override public  list <  object >    (  string broadcaster id  string uuid )  {  if  ( uuid  =  =  null )   {  throw new  illegal argument exception ( "" atmosphere resource can't be null"" )  ;   }   list <  object >  result = new  array list <  >  (  )  ;  try  {   atmosphere resource r = config . resources factory (  )  . fi"
79,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\client\TrackMessageSizeInterceptor.java,configure,@ override public void   (  atmosphere config config )  {   string s = config . get init parameter ( message   delimiter )  ;  if  ( s  !  =  null )   {  message delimiter ( s )  ;   }  s = config . get init parameter ( excluded   content   types )  ;  if  ( s  !  =  null )   {  excluded content types . add all (  arrays . as list ( s . 
80,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\client\TrackMessageSizeInterceptor.java,excluded content type,public  track message size interceptor   (  string excluded content type )  {  excluded content types . add ( excluded content type . to lower case (  )  )  ;  return this ;   }  
81,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\client\TrackMessageSizeInterceptor.java,excluded content types,public  hash set <  string >    (  )  {  return excluded content types ;   }  
82,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\client\TrackMessageSizeInterceptor.java,inspect,@ override public  action   ( final  atmosphere resource r )  {  if  (  atmosphere resource . transport . undefined  =  =  r . transport (  )  ||  utils . web socket message ( r )  )  return  action . continue ;  final  atmosphere response response = r . get response (  )  ;  super . inspect ( r )  ;   asyncio writer wri
83,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\client\TrackMessageSizeInterceptor.java,message delimiter,public  track message size interceptor   (  string end string )  {  this . end string = end string ;  end = end string . get bytes (  )  ;  return this ;   }  
